"Topic","TimeWindow","Interdisciplinarity","Quantile"
"36","2001 - 2005",0.382793229777726,"2"
"36","2006 - 2012",0.362873655815943,"2"
"37","1990 - 1995",0.39165594846402,"1"
"37","1996 - 2000",0.390317179962548,"1"
"37","2001 - 2005",0.375736788395821,"1"
"37","2006 - 2012",0.345447707981045,"1"
"38","1990 - 1995",0.36384269521111,"1"
"38","1996 - 2000",0.370785669164691,"1"
"38","2001 - 2005",0.357846637063802,"1"
"38","2006 - 2012",0.353025270729922,"1"
"39","1990 - 1995",0.395509830372071,"1"
"39","1996 - 2000",0.377593860295472,"1"
"39","2001 - 2005",0.374337726732464,"1"
"39","2006 - 2012",0.384669793135051,"1"
"4","1990 - 1995",0.369568438309373,"1"
"4","1996 - 2000",0.338309466869659,"1"
"4","2001 - 2005",0.382693107601379,"1"
"4","2006 - 2012",0.385411402040743,"1"
"40","1990 - 1995",0.376426522070176,"1"
"40","1996 - 2000",0.381262033658333,"1"
"40","2001 - 2005",0.378380804241903,"1"
"40","2006 - 2012",0.362103307181832,"1"
"41","1990 - 1995",0.360359863606964,"1"
"41","1996 - 2000",0.361187332117132,"1"
"41","2001 - 2005",0.361079685293703,"1"
"41","2006 - 2012",0.336244879311804,"1"
"42","1990 - 1995",0.361960551851216,"1"
"42","1996 - 2000",0.359322188024245,"1"
"42","2001 - 2005",0.358281994227559,"1"
"42","2006 - 2012",0.355272040457504,"1"
"43","1990 - 1995",0.394127031038096,"1"
"43","1996 - 2000",0.386653819256782,"1"
"43","2001 - 2005",0.385380731671122,"1"
"43","2006 - 2012",0.38700589131892,"1"
"44","1990 - 1995",0.386667439733025,"1"
"44","1996 - 2000",0.398317013690789,"1"
"44","2001 - 2005",0.391349997478793,"1"
"44","2006 - 2012",0.384057579253212,"1"
"45","1990 - 1995",0.377447360558073,"1"
"45","1996 - 2000",0.391302604344454,"1"
"45","2001 - 2005",0.383056813320499,"1"
"45","2006 - 2012",0.374406015177488,"1"
"46","1990 - 1995",0.376646115836669,"1"
"46","1996 - 2000",0.382533159377486,"1"
"46","2001 - 2005",0.364681310087511,"1"
"46","2006 - 2012",0.351148527973845,"1"
"47","1990 - 1995",0.378935030701609,"1"
"47","1996 - 2000",0.375849684160649,"1"
"47","2001 - 2005",0.364967371551182,"1"
"47","2006 - 2012",0.356230269510871,"1"
"48","1990 - 1995",0.423786486211066,"1"
"48","1996 - 2000",0.41334615095434,"1"
"48","2001 - 2005",0.342625007513056,"1"
"48","2006 - 2012",0.38110647219901,"1"
"49","1990 - 1995",0.364458360752974,"0"
"49","1996 - 2000",0.364103581681013,"0"
"49","2001 - 2005",0.346266535561491,"0"
"49","2006 - 2012",0,"0"
"5","1990 - 1995",0.377496611879688,"1"
"5","1996 - 2000",0.374428325686861,"1"
"5","2001 - 2005",0.371050850806825,"1"
"5","2006 - 2012",0.371283128520573,"1"
"6","1990 - 1995",0.388058808655763,"1"
"6","1996 - 2000",0.392945741594187,"1"
"6","2001 - 2005",0.394991586336865,"1"
"6","2006 - 2012",0.391343143894629,"1"
"7","1990 - 1995",0.36434366378075,"1"
"7","1996 - 2000",0.355612528403663,"1"
"7","2001 - 2005",0.356686847744051,"1"
"7","2006 - 2012",0.349497929076597,"1"
"8","1990 - 1995",0.285682665178531,"2"
"8","1996 - 2000",0.382031276811349,"2"
"8","2001 - 2005",0.380151266501553,"2"
"8","2006 - 2012",0.326557073362361,"2"
"9","1990 - 1995",0.375669977637312,"1"
"9","1996 - 2000",0.372330599987633,"1"
"9","2001 - 2005",0.375778529080975,"1"
"9","2006 - 2012",0.368489561596752,"1"
