"Mean","Lower","Upper","Beta_Part","TimeWindow"
0.785719775116968,0.784049963034855,0.787476995780318,"BAL","1990_1995"
0.198770623256754,0.196983136408166,0.200578858674505,"GRA","1990_1995"
0.984490398373722,0.984428984319247,0.984554618010454,"RUZ","1990_1995"
0.862764077138781,0.861850248084259,0.863698651488978,"JTU","1990_1995"
0.111730650367046,0.110930831822028,0.112576363485328,"JNE","1990_1995"
0.974494727505828,0.974417589756135,0.974571510281851,"JAC","1990_1995"
0.733431371458469,0.731588607384003,0.735336179951044,"BAL","2001_2005"
0.254179618277011,0.252083809849029,0.256052190780114,"GRA","2001_2005"
0.98761098973548,0.98754728033072,0.987676192219407,"RUZ","2001_2005"
0.854674304322432,0.853756167492923,0.855588612036527,"JTU","1996_2000"
0.12297473949015,0.12209879399955,0.123846671070329,"JNE","1996_2000"
0.977649043812582,0.977582583010502,0.977713946332594,"JAC","1996_2000"
0.632276753002834,0.629919599418946,0.63451576091692,"BAL","2001_2005"
0.355504084148384,0.353168029654522,0.357820909675222,"GRA","2001_2005"
0.987780837151219,0.987707350787729,0.987848143881725,"RUZ","2001_2005"
0.833562539230177,0.832651015684864,0.834439173919293,"JTU","2001_2005"
0.142722768479003,0.141830580047426,0.14365375245091,"JNE","2001_2005"
0.976285307709181,0.976223584514054,0.976347231047088,"JAC","2001_2005"
0.653565278206482,0.651302399929084,0.655753337951557,"BAL","2006_2012"
0.334097456143206,0.3319186380488,0.336145928827415,"GRA","2006_2012"
0.987662734349688,0.98759197403792,0.987731673818233,"RUZ","2006_2012"
0.806743809836001,0.805778937085291,0.807711955302024,"JTU","2006_2012"
0.167806762297809,0.166899839718682,0.168713950296978,"JNE","2006_2012"
0.97455057213381,0.974481247219875,0.974622946439618,"JAC","2006_2012"
